{u'f1_score': 0.5882989133204972, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.8, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.4377640376127704, u'expansion_threshold': None, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 10, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': None, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup'}
{u'f1_score': 0.5444544161597674, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 40, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.8, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.5487344468970597, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 50, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.9, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.4677754829861964, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.8, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.5450910935294637, u'expansion_threshold': None, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 40, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': None, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup'}
{u'f1_score': 0.5176498118359507, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.8, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.5628364508993898, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 75, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.9, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.3821699757595757, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.8, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.6794439613966754, u'expansion_threshold': None, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': None, u'threshold': 0.01, u'representation': u'BoW', u'corpus': u'20_newsgroup'}
{u'f1_score': 0.5877226590287494, u'expansion_threshold': 0.8, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.9, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.4888674885914484, u'expansion_threshold': None, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': None, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup'}
{u'f1_score': 0.4888674885914484, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.9, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.5487344468970597, u'expansion_threshold': None, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 50, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': None, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup'}
{u'f1_score': 0.5154407004651124, u'expansion_threshold': 0.8, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.9, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.46842239723614715, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.9, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.49248372786321026, u'expansion_threshold': 0.8, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.8, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.3124375819052179, u'expansion_threshold': None, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': None, u'threshold': 0.01, u'representation': u'BoW', u'corpus': u'20_newsgroup'}
{u'f1_score': 0.38234169021822506, u'expansion_threshold': 0.9, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': 0.9, u'threshold': 0.01, u'representation': u'BoC', u'corpus': u'20_newsgroup_expanded'}
{u'f1_score': 0.705938304293144, u'expansion_threshold': None, u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 150, u'stemming': u'porter', u'classify_method': u'mbayes', u'expansion_relatedness': None, u'threshold': 0.01, u'representation': u'BoW', u'corpus': u'20_newsgroup'}
